"","injuries","crash_date","crash_hour","report_type","num_units","posted_speed_limit","weather_condition","lighting_condition","roadway_surface_cond","first_crash_type","trafficway_type","prim_contributory_cause","latitude","longitude"
"1","none",2021-11-25 03:30:00,3,"NOT ON SCENE (DESK REPORT)",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","SIDESWIPE SAME DIRECTION","NOT DIVIDED","IMPROPER LANE USAGE",41.77833539,-87.742436494
"2","none",2021-11-25 03:00:00,3,"ON SCENE",1,35,"RAIN","DARKNESS, LIGHTED ROAD","WET","FIXED OBJECT","ONE-WAY","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",41.900947667,-87.619335176
"3","none",2021-11-25 02:40:00,2,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","WET","REAR END","NOT DIVIDED","UNABLE TO DETERMINE",41.830935095,-87.629975305
"4","none",2021-11-25 02:25:00,2,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","OTHER","PARKED MOTOR VEHICLE","OTHER","UNABLE TO DETERMINE",41.795546622,-87.72214568
"5","none",2021-11-25 02:23:00,2,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","WET","REAR END","FOUR WAY","UNABLE TO DETERMINE",41.87853495,-87.686510403
"6","none",2021-11-25 02:02:00,2,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","TURNING","NOT DIVIDED","IMPROPER TURNING/NO SIGNAL",41.881674757,-87.632504189
"7","none",2021-11-25 02:00:00,2,"ON SCENE",1,30,"UNKNOWN","DARKNESS, LIGHTED ROAD","UNKNOWN","FIXED OBJECT","NOT DIVIDED","UNABLE TO DETERMINE",41.811261436,-87.606749972
"8","injuries",2021-11-25 01:50:00,1,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","PEDESTRIAN","FOUR WAY","DISREGARDING STOP SIGN",41.897338047,-87.63734543
"9","none",2021-11-25 01:45:00,1,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","WET","REAR END","DIVIDED - W/MEDIAN BARRIER","FOLLOWING TOO CLOSELY",41.940309801,-87.638376197
"10","none",2021-11-25 01:40:00,1,"NOT ON SCENE (DESK REPORT)",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","REAR END","NOT DIVIDED","FOLLOWING TOO CLOSELY",41.93980784,-87.668543291
"11","none",2021-11-25 01:23:00,1,"ON SCENE",1,25,"RAIN","DARKNESS, LIGHTED ROAD","WET","FIXED OBJECT","NOT DIVIDED","UNABLE TO DETERMINE",41.800046203,-87.754777256
"12","none",2021-11-25 01:20:00,1,"ON SCENE",2,30,"UNKNOWN","UNKNOWN","UNKNOWN","SIDESWIPE SAME DIRECTION","NOT DIVIDED","UNABLE TO DETERMINE",41.834849389,-87.736746854
"13","none",2021-11-25 01:08:00,1,"ON SCENE",1,20,"RAIN","DARKNESS, LIGHTED ROAD","WET","FIXED OBJECT","ONE-WAY","WEATHER",41.897686008,-87.61747391
"14","none",2021-11-25 00:48:00,0,"ON SCENE",4,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.801016757,-87.682726551
"15","none",2021-11-25 00:47:00,0,"NOT ON SCENE (DESK REPORT)",1,25,"RAIN","DARKNESS, LIGHTED ROAD","WET","FIXED OBJECT","DIVIDED - W/MEDIAN BARRIER","UNABLE TO DETERMINE",41.900752974,-87.624235
"16","none",2021-11-25 00:33:00,0,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","PEDALCYCLIST","NOT DIVIDED","NOT APPLICABLE",41.888091545,-87.624682704
"17","none",2021-11-25 00:00:00,0,"ON SCENE",1,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","FIXED OBJECT","NOT DIVIDED","UNABLE TO DETERMINE",41.878694168,-87.725453428
"18","none",2021-11-25 00:00:00,0,"ON SCENE",2,5,"RAIN","DARKNESS","WET","REAR TO SIDE","PARKING LOT","UNABLE TO DETERMINE",41.670676651,-87.6201401
"19","none",2021-11-25 00:00:00,0,"ON SCENE",2,35,"RAIN","DARKNESS, LIGHTED ROAD","WET","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.685284629,-87.616068831
"20","none",2021-11-24 23:53:00,23,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","TURNING","DIVIDED - W/MEDIAN BARRIER","UNABLE TO DETERMINE",41.749840439,-87.688900524
"21","none",2021-11-24 23:40:00,23,"ON SCENE",2,15,"RAIN","DARKNESS","UNKNOWN","PARKED MOTOR VEHICLE","PARKING LOT","UNABLE TO DETERMINE",41.842506292,-87.695297059
"22","injuries",2021-11-24 23:38:00,23,"ON SCENE",5,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","PARKED MOTOR VEHICLE","NOT DIVIDED","HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE)",41.863769822,-87.705447703
"23","none",2021-11-24 23:34:00,23,"ON SCENE",2,25,"RAIN","DARKNESS","WET","ANGLE","T-INTERSECTION","FAILING TO YIELD RIGHT-OF-WAY",41.811032084,-87.621404623
"24","none",2021-11-24 23:30:00,23,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN (NOT RAISED)","PHYSICAL CONDITION OF DRIVER",41.67885008,-87.661255295
"25","injuries",2021-11-24 23:26:00,23,"ON SCENE",1,35,"RAIN","DARKNESS, LIGHTED ROAD","WET","FIXED OBJECT","Y-INTERSECTION","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",41.884069709,-87.663270015
"26","none",2021-11-24 23:10:00,23,"ON SCENE",1,30,"CLEAR","DARKNESS, LIGHTED ROAD","WET","FIXED OBJECT","NOT DIVIDED","UNABLE TO DETERMINE",41.873017269,-87.725552367
"27","none",2021-11-24 23:05:00,23,"NOT ON SCENE (DESK REPORT)",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","HEAD ON","NOT DIVIDED","DISREGARDING TRAFFIC SIGNALS",42.01210812,-87.683145627
"28","injuries",2021-11-24 22:54:00,22,"ON SCENE",2,35,"RAIN","DARKNESS, LIGHTED ROAD","WET","TURNING","DIVIDED - W/MEDIAN BARRIER","IMPROPER TURNING/NO SIGNAL",41.685958215,-87.603425032
"29","none",2021-11-24 22:45:00,22,"NOT ON SCENE (DESK REPORT)",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","TURNING","FOUR WAY","IMPROPER TURNING/NO SIGNAL",41.895112219,-87.745932427
"30","none",2021-11-24 22:40:00,22,"ON SCENE",2,20,"RAIN","DARKNESS, LIGHTED ROAD","WET","ANGLE","FOUR WAY","DISREGARDING STOP SIGN",41.805735129,-87.740806974
"31","injuries",2021-11-24 22:39:00,22,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","ANGLE","FOUR WAY","FAILING TO YIELD RIGHT-OF-WAY",41.917110678,-87.734036789
"32","none",2021-11-24 22:31:00,22,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","REAR END","FOUR WAY","FOLLOWING TOO CLOSELY",41.767687732,-87.722630845
"33","none",2021-11-24 22:30:00,22,"NOT ON SCENE (DESK REPORT)",2,35,"RAIN","DARKNESS, LIGHTED ROAD","WET","SIDESWIPE SAME DIRECTION","T-INTERSECTION","UNABLE TO DETERMINE",41.769258781,-87.610522855
"34","injuries",2021-11-24 22:10:00,22,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)","FAILING TO REDUCE SPEED TO AVOID CRASH",41.882855214,-87.711210598
"35","none",2021-11-24 21:55:00,21,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","SIDESWIPE SAME DIRECTION","ONE-WAY","FAILING TO YIELD RIGHT-OF-WAY",41.989003467,-87.656928712
"36","none",2021-11-24 21:35:00,21,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN (NOT RAISED)","UNABLE TO DETERMINE",41.849935702,-87.699181958
"37","none",2021-11-24 21:30:00,21,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","REAR END","NOT DIVIDED","FOLLOWING TOO CLOSELY",41.874630787,-87.63072868
"38","none",2021-11-24 21:30:00,21,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","REAR TO FRONT","ONE-WAY","IMPROPER BACKING",41.972202554,-87.708362245
"39","none",2021-11-24 21:29:00,21,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)","FOLLOWING TOO CLOSELY",41.87556911,-87.629383226
"40","injuries",2021-11-24 21:17:00,21,"ON SCENE",2,30,"RAIN","DARKNESS, LIGHTED ROAD","WET","ANGLE","NOT DIVIDED","DISREGARDING TRAFFIC SIGNALS",41.772441793,-87.654373236
"41","none",2021-11-24 20:57:00,20,"ON SCENE",2,25,"CLEAR","DARKNESS","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE",41.924080514,-87.683233362
"42","none",2021-11-24 20:40:00,20,"ON SCENE",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","PARKED MOTOR VEHICLE","NOT DIVIDED","UNABLE TO DETERMINE",41.845943012,-87.726366842
"43","none",2021-11-24 20:40:00,20,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","WET","REAR END","NOT DIVIDED","IMPROPER BACKING",41.93472739,-87.736750844
"44","none",2021-11-24 20:32:00,20,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","REAR TO FRONT","NOT DIVIDED","IMPROPER BACKING",41.970593164,-87.763352102
"45","none",2021-11-24 20:25:00,20,"NOT ON SCENE (DESK REPORT)",2,30,"CLEAR","DARKNESS, LIGHTED ROAD","DRY","TURNING","DIVIDED - W/MEDIAN BARRIER","IMPROPER TURNING/NO SIGNAL",41.851187064,-87.619112611
